ANIO;REG_NAT;DEMAR_HIDRO;DIR_ZON;DPA_PROVIN;DPA_DESPRO;DPA_CANTON;DPA_DESCAN;CAPH;NAM;ANIO_CREACION;ROR;EDEL;AREA_HA
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;1;AZUAY;101;CUENCA;APH003;CHINI - DELEG;2019;TRÁMITE ADMINISTRATIVO NO. 001-2018-DHS-APH DEL 05/02/2019;CONCLUIDO;2,065013241
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;1;AZUAY;101;CUENCA;APH003;CHINI - DELEG;2019;TRÁMITE ADMINISTRATIVO NO. 001-2018-DHS-APH DEL 05/02/2019;CONCLUIDO;2,296804852
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA GUAYAS;DIRECCIÓN ZONAL GUAYAS;2;BOLÍVAR;201;GUARANDA;APH014;SIMIÁTUG;2022;RESOLUCIÓN MAATE-DZ5-DAPH-4373-2022-R DEL 28/07/2022;CONCLUIDO;2,233862057
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA GUAYAS;DIRECCIÓN ZONAL GUAYAS;2;BOLÍVAR;201;GUARANDA;APH012;QUINLLUNGA DE SAN SIMÓN-GUARANDA;2021;RESOLUCIÓN MAATE-DZ5-DAPH-QSSG-2021-001-R DEL 22/10/2021;CONCLUIDO;556,5775081
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA GUAYAS;DIRECCIÓN ZONAL GUAYAS;2;BOLÍVAR;201;GUARANDA;APH014;SIMIÁTUG;2022;RESOLUCIÓN MAATE-DZ5-DAPH-4373-2022-R DEL 28/07/2022;CONCLUIDO;4090,542022
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;3;CAÑAR;302;BIBLIÁN;APH003;CHINI - DELEG;2019;TRÁMITE ADMINISTRATIVO NO. 001-2018-DHS-APH DEL 05/02/2019;CONCLUIDO;110,9953431
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;3;CAÑAR;302;BIBLIÁN;APH003;CHINI - DELEG;2019;TRÁMITE ADMINISTRATIVO NO. 001-2018-DHS-APH DEL 05/02/2019;CONCLUIDO;0,633936515
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA SANTIAGO;DIRECCIÓN ZONAL AZUAY;3;CAÑAR;306;DÉLEG;APH003;CHINI - DELEG;2019;TRÁMITE ADMINISTRATIVO NO. 001-2018-DHS-APH DEL 05/02/2019;CONCLUIDO;2003,74763
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;401;TULCÁN;APH008;NORTE DEL ECUADOR;2021;RESOLUCIÓN MAAE-DZ1-DAPH-NELECH-2021-001-R DEL 06/05/2021;CONCLUIDO;7494,6303
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA NAPO;DIRECCIÓN ZONAL SUCUMBÍOS;4;CARCHI;401;TULCÁN;APH016;AGUARICO, CHINGUAL Y COFANES;2022;RESOLUCIÓN MAATE-DZ9-DAPH-2022-001-R DEL 30/11/2022;CONCLUIDO;3924,353988
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;401;TULCÁN;APH008;NORTE DEL ECUADOR;2021;RESOLUCIÓN MAAE-DZ1-DAPH-NELECH-2021-001-R DEL 06/05/2021;CONCLUIDO;2271,016215
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;401;TULCÁN;APH008;NORTE DEL ECUADOR;2021;RESOLUCIÓN MAAE-DZ1-DAPH-NELECH-2021-001-R DEL 06/05/2021;CONCLUIDO;3219,578098
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;401;TULCÁN;APH008;NORTE DEL ECUADOR;2021;RESOLUCIÓN MAAE-DZ1-DAPH-NELECH-2021-001-R DEL 06/05/2021;CONCLUIDO;1040,702083
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;401;TULCÁN;APH008;NORTE DEL ECUADOR;2021;RESOLUCIÓN MAAE-DZ1-DAPH-NELECH-2021-001-R DEL 06/05/2021;CONCLUIDO;10549,2979
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;401;TULCÁN;APH008;NORTE DEL ECUADOR;2021;RESOLUCIÓN MAAE-DZ1-DAPH-NELECH-2021-001-R DEL 06/05/2021;CONCLUIDO;287,7007823
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;401;TULCÁN;APH008;NORTE DEL ECUADOR;2021;RESOLUCIÓN MAAE-DZ1-DAPH-NELECH-2021-001-R DEL 06/05/2021;CONCLUIDO;600,1123641
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;403;ESPEJO;APH008;NORTE DEL ECUADOR;2021;RESOLUCIÓN MAAE-DZ1-DAPH-NELECH-2021-001-R DEL 06/05/2021;CONCLUIDO;837,2355465
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;403;ESPEJO;APH008;NORTE DEL ECUADOR;2021;RESOLUCIÓN MAAE-DZ1-DAPH-NELECH-2021-001-R DEL 06/05/2021;CONCLUIDO;1493,964828
2023;REGIÓN SIERRA O INTERANDINA;DEMARCACIÓN HIDROGRÁFICA MIRA;DIRECCIÓN ZONAL IMBABURA;4;CARCHI;405;MONTÚFAR;APH008;NORTE DEL ECUADOR;2021;RESOLUCIÓN MAAE-DZ1-DAPH-NELECH-2021-001-R DEL 06/05/2021;CONCLUIDO;84,76158947
